system   D            wsystem.c:583  maybe_parent_dir                 [   0.00053] Also searching C:\Users\heno\documents\visual studio 2010\Projects\Scrapheap Spaceships\
display  D   display_settings.c:191  debug_display_settings           [   0.09002] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09009] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09015] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09021] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09025] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09034] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09038] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09044] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09051] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09057] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09063] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09070] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09076] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09080] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09082] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09085] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09087] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09089] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09091] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09093] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09095] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
